p_val	avg_diff	pct.1	pct.2	p_val_adj	cluster	gene
FTL	0	15.9939101342764	0.984	0.859	0	1	FTL
JUN	0	11.4502256757589	0.886	0.57	0	1	JUN
HERPUD1	0	9.95254748665315	0.917	0.362	0	1	HERPUD1
UBC	0	9.28214767744105	0.925	0.733	0	1	UBC
RGS1	0	7.73793215935006	0.766	0.356	0	1	RGS1
CYBA	0	7.071828207647	0.957	0.624	0	1	CYBA
DERL3	0	6.97141552666117	0.891	0.067	0	1	DERL3
XBP1	0	6.94138584226315	0.89	0.231	0	1	XBP1
AL928768.3	0	6.07986136033151	0.742	0.096	0	1	AL928768.3
HLA-C	0	5.97003148705561	0.936	0.749	0	1	HLA-C
CD79A	0	5.89317727357592	0.878	0.27	0	1	CD79A
JUNB	0	5.56723999948077	0.864	0.642	0	1	JUNB
DUSP1	0	5.44889117089552	0.751	0.501	0	1	DUSP1
TSC22D3	0	5.38753973155576	0.837	0.469	0	1	TSC22D3
IER2	0	5.28625410817655	0.763	0.401	0	1	IER2
FOS	0	5.21892167865366	0.819	0.57	0	1	FOS
HSP90B1	0	4.98632744792445	0.876	0.308	0	1	HSP90B1
NFKBIA	0	4.88875823300375	0.693	0.366	0	1	NFKBIA
SPCS2	0	4.6382150736198	0.917	0.398	0	1	SPCS2
FKBP11	0	4.62538420424369	0.881	0.133	0	1	FKBP11
SPCS1	0	3.95818845507212	0.888	0.348	0	1	SPCS1
FKBP2	0	3.4852700760267	0.879	0.247	0	1	FKBP2
TMEM59	0	3.26276974075937	0.864	0.393	0	1	TMEM59
SUB1	0	3.25682856493618	0.898	0.491	0	1	SUB1
BTG2	0	3.1305773861694	0.764	0.271	0	1	BTG2
RPS4X	0	3.00789895049819	0.977	0.93	0	1	RPS4X
PPP1R15A	0	2.98650464858774	0.726	0.418	0	1	PPP1R15A
TNFRSF17	0	2.85480811879769	0.781	0.035	0	1	TNFRSF17
CITED2	0	2.85272704682785	0.541	0.12	0	1	CITED2
ZFP36	0	2.4759372245149	0.732	0.431	0	1	ZFP36
SEC11C	0	2.37125286039954	0.776	0.145	0	1	SEC11C
SEC61B	0	2.23843876780844	0.854	0.336	0	1	SEC61B
RPS19	0	2.20618986844422	0.994	0.973	0	1	RPS19
PIM2	0	2.18611952136098	0.672	0.112	0	1	PIM2
HSPA5	0	2.17111086407253	0.696	0.251	0	1	HSPA5
RPL18A	0	2.16090652606901	0.988	0.952	0	1	RPL18A
SELK	0	2.14730028329499	0.804	0.33	0	1	SELK
DNAJB9	0	2.1114822612437	0.741	0.156	0	1	DNAJB9
NEAT1	0	2.09564249174315	0.844	0.523	0	1	NEAT1
RPS15	0	2.06230540500121	0.989	0.963	0	1	RPS15
SDF2L1	0	2.04471800278434	0.759	0.182	0	1	SDF2L1
LGALS1	0	2.01366606334546	0.839	0.3	0	1	LGALS1
SSR3	0	1.98033213253111	0.785	0.205	0	1	SSR3
ITM2C	0	1.92492844507663	0.635	0.103	0	1	ITM2C
SEC61G	0	1.91958684372179	0.858	0.412	0	1	SEC61G
PRDX4	0	1.91666394368344	0.721	0.135	0	1	PRDX4
TMEM258	0	1.85677726524024	0.845	0.379	0	1	TMEM258
FAU	0	1.79513664222557	0.961	0.893	0	1	FAU
FOSB	0	1.78763775220872	0.714	0.321	0	1	FOSB
ISG20	0	1.71840166584012	0.747	0.266	0	1	ISG20
MANF	0	1.709899166531	0.71	0.177	0	1	MANF
RPL36AL	0	1.68736320703371	0.881	0.56	0	1	RPL36AL
VIMP	0	1.64368596796074	0.739	0.195	0	1	VIMP
KRTCAP2	0	1.60075305410466	0.74	0.239	0	1	KRTCAP2
HSPA1B	0	1.58930959877591	0.623	0.3	0	1	HSPA1B
SRGN	0	1.57233951747756	0.842	0.492	0	1	SRGN
SERP1	0	1.5460779533157	0.775	0.361	0	1	SERP1
OST4	0	1.49183738592973	0.848	0.508	0	1	OST4
PPIB	0	1.48365399421537	0.784	0.318	0	1	PPIB
UBE2J1	0	1.46022916234308	0.675	0.134	0	1	UBE2J1
SPCS3	0	1.45679637779122	0.689	0.162	0	1	SPCS3
HSPB1	0	1.44704250243531	0.549	0.33	0	1	HSPB1
RABAC1	0	1.4353967766345	0.747	0.291	0	1	RABAC1
DNAJB1	0	1.42518873826029	0.638	0.428	0	1	DNAJB1
PDIA4	0	1.38988177104489	0.665	0.179	0	1	PDIA4
ZFP36L2	0	1.37406360718414	0.566	0.331	0	1	ZFP36L2
JSRP1	0	1.35974534521289	0.518	0.018	0	1	JSRP1
ANKRD28	0	1.35755860945636	0.567	0.097	0	1	ANKRD28
PDIA6	0	1.34254720323689	0.702	0.237	0	1	PDIA6
SEC62	0	1.3380617730325	0.791	0.393	0	1	SEC62
CIRBP	0	1.31262361375816	0.782	0.515	0	1	CIRBP
TRAM1	0	1.29674637054242	0.703	0.227	0	1	TRAM1
MCL1	0	1.29033193381582	0.642	0.321	0	1	MCL1
DDIT4	0	1.28763795248272	0.427	0.181	0	1	DDIT4
LINC00152	0	1.22552389205821	0.558	0.168	0	1	LINC00152
YPEL5	0	1.2146885782082	0.579	0.349	0	1	YPEL5
C19orf10	0	1.21124391429461	0.665	0.195	0	1	C19orf10
NPC2	0	1.18391253876937	0.692	0.288	0	1	NPC2
CUTA	0	1.17282766417412	0.717	0.309	0	1	CUTA
CD27	0	1.10471820820982	0.493	0.108	0	1	CD27
TMBIM6	0	1.09949939029134	0.728	0.378	0	1	TMBIM6
HSPA1A	0	1.09847153273743	0.564	0.381	0	1	HSPA1A
TMED10	0	1.08375128787557	0.699	0.262	0	1	TMED10
LMAN2	0	1.05829009377524	0.635	0.201	0	1	LMAN2
SSR2	0	1.04656993458679	0.711	0.361	0	1	SSR2
RPS14	0	1.03331768761674	0.988	0.963	0	1	RPS14
TMED2	0	0.989021682225536	0.7	0.302	0	1	TMED2
LY96	0	0.988309333783016	0.559	0.078	0	1	LY96
RPL15	0	0.977398512582974	0.969	0.93	0	1	RPL15
SELM	0	0.965074872569903	0.619	0.153	0	1	SELM
RPL13	0	0.961142794443017	0.995	0.977	0	1	RPL13
COPE	0	0.951658993822255	0.702	0.312	0	1	COPE
HIST1H1C	0	0.900360954800246	0.431	0.103	0	1	HIST1H1C
FAM46C	0	0.874394200041186	0.525	0.093	0	1	FAM46C
TMED9	0	0.857677512699198	0.623	0.209	0	1	TMED9
CRELD2	0	0.856938712981085	0.505	0.101	0	1	CRELD2
RGS2	0	0.850132497756958	0.358	0.216	0	1	RGS2
HIST1H2BK	0	0.841251137530966	0.473	0.111	0	1	HIST1H2BK
EMP3	0	0.825570709301518	0.634	0.28	0	1	EMP3
TXNDC15	0	0.817455183756464	0.503	0.074	0	1	TXNDC15
SLC25A6	0	0.816081390920276	0.813	0.578	0	1	SLC25A6
DUSP2	0	0.812901197202097	0.298	0.146	0	1	DUSP2
TPD52	0	0.8032635961013	0.603	0.187	0	1	TPD52
TMEM107	0	0.799332878990062	0.458	0.082	0	1	TMEM107
TRIB1	0	0.772431032781564	0.407	0.06	0	1	TRIB1
EAF2	0	0.770725044159375	0.454	0.051	0	1	EAF2
RPL41	0	0.76479968887643	0.997	0.991	0	1	RPL41
RPL35	0	0.739223866747444	0.976	0.919	0	1	RPL35
NDUFB11	0	0.733984113287159	0.71	0.37	0	1	NDUFB11
PRDM1	0	0.729666403987391	0.385	0.067	0	1	PRDM1
RPN2	0	0.725379669170772	0.531	0.175	0	1	RPN2
DUSP5	0	0.723509287840346	0.361	0.042	0	1	DUSP5
DAD1	0	0.719544687390526	0.645	0.291	0	1	DAD1
GADD45B	0	0.718231680936534	0.388	0.219	0	1	GADD45B
RPL27A	0	0.717570421524551	0.981	0.941	0	1	RPL27A
PSAP	0	0.706615077959572	0.609	0.28	0	1	PSAP
ERGIC3	0	0.673755793753066	0.562	0.209	0	1	ERGIC3
OSTC	0	0.67364321010368	0.598	0.241	0	1	OSTC
POU2AF1	0	0.665413207057897	0.459	0.088	0	1	POU2AF1
LMAN1	0	0.656543280874172	0.488	0.132	0	1	LMAN1
PPAPDC1B	0	0.650682442376002	0.484	0.11	0	1	PPAPDC1B
SELT	0	0.647331172472842	0.592	0.3	0	1	SELT
FCRL5	0	0.643630074380985	0.427	0.023	0	1	FCRL5
KDELR2	0	0.636718163680084	0.589	0.208	0	1	KDELR2
ARF4	0	0.635435841892316	0.592	0.256	0	1	ARF4
ICAM3	0	0.623767677297144	0.477	0.145	0	1	ICAM3
HM13	0	0.620961310561962	0.482	0.131	0	1	HM13
SPAG4	0	0.60424238133038	0.389	0.014	0	1	SPAG4
ALG5	0	0.600930856142663	0.474	0.126	0	1	ALG5
ERLEC1	0	0.600825218150238	0.459	0.115	0	1	ERLEC1
NUCB2	0	0.600503423530677	0.458	0.134	0	1	NUCB2
TXNDC11	0	0.591941426999583	0.391	0.045	0	1	TXNDC11
MT-ND4	0	0.570232231723555	0.976	0.945	0	1	MT-ND4
VIM	0	0.567033269734063	0.636	0.322	0	1	VIM
BST2	0	0.565266711401454	0.504	0.174	0	1	BST2
RPS28	0	0.564815979019587	0.988	0.964	0	1	RPS28
SRSF7	0	0.560805069583907	0.46	0.326	0	1	SRSF7
RPS27L	0	0.551459174283829	0.717	0.361	0	1	RPS27L
REEP5	0	0.551088437453057	0.51	0.196	0	1	REEP5
RPL21	0	0.547862010289348	0.99	0.972	0	1	RPL21
UFM1	0	0.542886096170592	0.496	0.166	0	1	UFM1
CDKN1A	0	0.541328112242695	0.323	0.117	0	1	CDKN1A
TRMT112	0	0.53960630473846	0.605	0.329	0	1	TRMT112
CALR	0	0.534096185252145	0.618	0.306	0	1	CALR
SDC1	0	0.53238279515159	0.373	0.058	0	1	SDC1
RGCC	0	0.530788465270359	0.266	0.121	0	1	RGCC
DPP7	0	0.519377326831701	0.457	0.147	0	1	DPP7
ATF4	0	0.512364707052775	0.504	0.219	0	1	ATF4
MT-ND3	0	0.512267465091643	0.952	0.899	0	1	MT-ND3
GYPC	0	0.498353677367945	0.455	0.167	0	1	GYPC
COMMD3	0	0.49578584248984	0.426	0.112	0	1	COMMD3
LSP1	0	0.495075529951332	0.524	0.27	0	1	LSP1
EVI2B	0	0.490344529742059	0.444	0.186	0	1	EVI2B
CCR10	0	0.489087422579411	0.29	0.009	0	1	CCR10
DNAJB11	0	0.485695403090177	0.42	0.131	0	1	DNAJB11
RRBP1	0	0.477912425607003	0.471	0.142	0	1	RRBP1
TOR3A	0	0.468592682921849	0.312	0.066	0	1	TOR3A
ISCU	0	0.465907976835784	0.442	0.197	0	1	ISCU
CYTIP1	0	0.462687182032765	0.459	0.265	0	1	CYTIP
SRPRB	0	0.460130926013267	0.407	0.095	0	1	SRPRB
JTB	0	0.453340548832636	0.569	0.266	0	1	JTB
ICAM2	0	0.450412674739932	0.372	0.068	0	1	ICAM2
LAMP2	0	0.450003155319577	0.398	0.114	0	1	LAMP2
CD38	0	0.446278320797883	0.331	0.037	0	1	CD38
TMEM208	0	0.445533684575944	0.433	0.135	0	1	TMEM208
MIF	0	0.44263557742658	0.674	0.367	0	1	MIF
RP11-386I14.4	0	0.442248040242207	0.279	0.089	0	1	RP11-386I14.4
TUBA4A	0	0.437915525406281	0.341	0.159	0	1	TUBA4A
GNG7	0	0.4378301810471	0.365	0.062	0	1	GNG7
RP11-290F5.1	0	0.43745873229478	0.286	0.007	0	1	RP11-290F5.1
MEF2C1	0	0.435850601748022	0.466	0.192	0	1	MEF2C
TECR	0	0.430548032265848	0.459	0.182	0	1	TECR
CISD2	0	0.426751894674087	0.42	0.14	0	1	CISD2
PHPT1	0	0.425877475375126	0.512	0.23	0	1	PHPT1
EDF1	0	0.425708586727551	0.742	0.462	0	1	EDF1
SMDT1	0	0.423544640935803	0.553	0.307	0	1	SMDT1
IRF1	0	0.42326171715904	0.355	0.163	0	1	IRF1
GLRX	0	0.422733902687629	0.362	0.108	0	1	GLRX
DDOST	0	0.40665739863711	0.396	0.134	0	1	DDOST
RNASET2	0	0.403661400064024	0.479	0.262	0	1	RNASET2
RPS15A	0	0.402769792207865	0.983	0.957	0	1	RPS15A
SLAMF7	0	0.398960626304388	0.309	0.019	0	1	SLAMF7
MEI1	0	0.393227242030145	0.303	0.021	0	1	MEI1
CHPF	0	0.387788940025119	0.315	0.048	0	1	CHPF
ERGIC2	0	0.386415175194126	0.37	0.111	0	1	ERGIC2
ERP29	0	0.385143900718985	0.539	0.3	0	1	ERP29
SLC3A2	0	0.384451978197409	0.329	0.129	0	1	SLC3A2
ATRAID	0	0.379947154579412	0.438	0.18	0	1	ATRAID
PABPC4	0	0.373872800786225	0.346	0.099	0	1	PABPC4
IFNAR2	0	0.37376191679426	0.311	0.051	0	1	IFNAR2
TPST2	0	0.370746199799905	0.302	0.051	0	1	TPST2
SOCS3	0	0.369970369475127	0.297	0.138	0	1	SOCS3
RPL24	0	0.369410002833142	0.908	0.793	0	1	RPL24
CDK2AP2	0	0.365262147991704	0.382	0.151	0	1	CDK2AP2
ZBTB38	0	0.364380777324196	0.315	0.066	0	1	ZBTB38
DNAJC3	0	0.362574344199381	0.351	0.119	0	1	DNAJC3
RPL23A	0	0.35380920111264	0.964	0.92	0	1	RPL23A
KLF13	0	0.35222712940025	0.298	0.051	0	1	KLF13
TIFA	0	0.35053773477759	0.269	0.066	0	1	TIFA
DERL1	0	0.347478649527142	0.349	0.115	0	1	DERL1
RPN1	0	0.343966620774098	0.377	0.132	0	1	RPN1
CNPY2	0	0.341899609439065	0.418	0.157	0	1	CNPY2
KRT10	0	0.341300196000588	0.434	0.196	0	1	KRT10
NDUFA3	0	0.340715319100997	0.584	0.318	0	1	NDUFA3
CCPG1	0	0.339519735483618	0.313	0.076	0	1	CCPG1
KDELR1	0	0.330845890992252	0.389	0.143	0	1	KDELR1
ARSA	0	0.328864736216685	0.296	0.045	0	1	ARSA
DNAJC1	0	0.327035655548252	0.319	0.093	0	1	DNAJC1
A1BG	0	0.326818050573475	0.303	0.056	0	1	A1BG
NDUFB4	0	0.322290173520769	0.563	0.288	0	1	NDUFB4
SIL1	0	0.322050814773447	0.313	0.076	0	1	SIL1
GUK1	0	0.314884529197365	0.603	0.346	0	1	GUK1
RNF181	0	0.314155760129586	0.435	0.215	0	1	RNF181
RPL6	0	0.314046020481496	0.925	0.822	0	1	RPL6
SQSTM1	0	0.312800594433267	0.416	0.23	0	1	SQSTM1
PDK1	0	0.309317000165843	0.256	0.023	0	1	PDK1
OS9	0	0.308882675512106	0.346	0.135	0	1	OS9
TMBIM4.1	0	0.306856085991813	0.533	0.32	0	1	TMBIM4.1
PSME1	0	0.306474701659428	0.613	0.407	0	1	PSME1
MIR24-2	0	0.305879199736078	0.28	0.118	0	1	MIR24-2
RPL35A	0	0.30456664320766	0.97	0.927	0	1	RPL35A
HAX1	0	0.304430606312551	0.351	0.156	0	1	HAX1
TAPBPL	0	0.298646286852102	0.265	0.056	0	1	TAPBPL
ZNF706	0	0.29557821690852	0.446	0.222	0	1	ZNF706
TIMP1	0	0.295000450012169	0.621	0.266	0	1	TIMP1
TMEM205	0	0.29343556188237	0.338	0.12	0	1	TMEM205
NDUFA11	0	0.291508904480173	0.573	0.323	0	1	NDUFA11
XIST	0	0.291143600657318	0.274	0.118	0	1	XIST
UAP1	0	0.290954529660302	0.276	0.074	0	1	UAP1
IFI27L2	0	0.28922200206204	0.401	0.191	0	1	IFI27L2
IL2RG	0	0.286745096737162	0.349	0.196	0	1	IL2RG
GTF3A	0	0.285471138000886	0.394	0.195	0	1	GTF3A
RPS18	0	0.285024750846187	0.995	0.976	0	1	RPS18
VOPP1	0	0.282169468983765	0.294	0.095	0	1	VOPP1
TMEM256	0	0.279960546848121	0.418	0.198	0	1	TMEM256
LMO4	0	0.277009769848635	0.343	0.147	0	1	LMO4
TMEM147	0	0.275430054441801	0.402	0.176	0	1	TMEM147
PDIA3	0	0.274037226732207	0.526	0.282	0	1	PDIA3
DERL2	0	0.270510866320392	0.299	0.104	0	1	DERL2
SSR1	0	0.265528551724763	0.369	0.168	0	1	SSR1
SEC61A1	0	0.264603740577237	0.308	0.097	0	1	SEC61A1
NDUFAF3	0	0.263398039161778	0.389	0.188	0	1	NDUFAF3
PSMB1	0	0.263025393371597	0.541	0.31	0	1	PSMB1
CFLAR	0	0.261389746062105	0.341	0.161	0	1	CFLAR
RPS11	0	0.260429912390975	0.933	0.833	0	1	RPS11
B4GALT3	0	0.257599846627631	0.251	0.056	0	1	B4GALT3
CCNL1	0	0.255158766027811	0.433	0.284	0	1	CCNL1
DDX5	0	0.25501931728922	0.734	0.65	0	1	DDX5
NHP2L1	0	0.253467678933274	0.523	0.321	0	1	NHP2L1
NANS	0	0.251925948336442	0.375	0.14	0	1	NANS
C10orf54	0	0.24889377442062	0.299	0.11	0	1	C10orf54
CHST12	0	0.247156700952704	0.256	0.061	0	1	CHST12
NR4A11	0	0.245229028362172	0.34	0.221	0	1	NR4A1
SAR1B	0	0.243832619856699	0.312	0.121	0	1	SAR1B
PFDN5	0	0.242442836606642	0.843	0.754	0	1	PFDN5
TMED4	0	0.242430637580352	0.312	0.123	0	1	TMED4
UBXN4	0	0.241527576888967	0.395	0.205	0	1	UBXN4
TYMP	0	0.241019335285506	0.335	0.169	0	1	TYMP
TMEM230	0	0.234281811278481	0.427	0.258	0	1	TMEM230
EIF5	0	0.233863258340145	0.371	0.236	0	1	EIF5
DNAJC4	0	0.231509275740627	0.264	0.088	0	1	DNAJC4
TMCO1	0	0.231155237191888	0.424	0.239	0	1	TMCO1
ERP44	0	0.227275418049425	0.332	0.163	0	1	ERP44
CHID1	0	0.227086085056436	0.264	0.087	0	1	CHID1
COPZ1	0	0.226956906486297	0.363	0.172	0	1	COPZ1
PQBP1	0	0.225754772601098	0.303	0.129	0	1	PQBP1
AUP1	0	0.222250322938319	0.341	0.16	0	1	AUP1
AKR1A1	0	0.221753507823091	0.376	0.17	0	1	AKR1A1
LRPAP1	0	0.220015415297701	0.344	0.158	0	1	LRPAP1
C4orf3	0	0.218657722685227	0.462	0.312	0	1	C4orf3
PRDX5	0	0.217255647918037	0.577	0.306	0	1	PRDX5
TCF25	0	0.214618523948757	0.383	0.222	0	1	TCF25
ATP6V0B	0	0.210195441784698	0.473	0.262	0	1	ATP6V0B
TAPBP	0	0.209154323218014	0.359	0.215	0	1	TAPBP
FAM3C	0	0.207823886293524	0.294	0.122	0	1	FAM3C
SLC38A2	0	0.206170721365788	0.306	0.167	0	1	SLC38A2
SRP54	0	0.20342495934752	0.253	0.093	0	1	SRP54
ARL6IP4	0	0.203122886465633	0.509	0.31	0	1	ARL6IP4
PSENEN	0	0.202365316265268	0.298	0.129	0	1	PSENEN
VKORC1	0	0.201896868017852	0.296	0.133	0	1	VKORC1
NDUFB7	0	0.201053976120405	0.496	0.253	0	1	NDUFB7
EIF2A	0	0.200844525447867	0.285	0.133	0	1	EIF2A
SFT2D1	0	0.199530363042584	0.399	0.225	0	1	SFT2D1
ACADVL	0	0.198925150686201	0.346	0.163	0	1	ACADVL
NCF1	0	0.197729350949781	0.291	0.143	0	1	NCF1
CDK5RAP3	0	0.196226308240753	0.265	0.106	0	1	CDK5RAP3
WBSCR22	0	0.195526318196194	0.294	0.134	0	1	WBSCR22
NDUFA1	0	0.195458414625215	0.653	0.367	0	1	NDUFA1
CCNC	0	0.194739780121785	0.256	0.104	0	1	CCNC
IER3IP1.1	0	0.193149318089686	0.327	0.163	0	1	IER3IP1.1
UFC1	0	0.191202154067364	0.396	0.232	0	1	UFC1
SEP15	0	0.189730019881879	0.43	0.29	0	1	SEP15
PPP1CC	0	0.189277906585934	0.378	0.235	0	1	PPP1CC
ARMCX3	0	0.189025579774915	0.255	0.113	0	1	ARMCX3
C12orf57	0	0.187100111488057	0.419	0.279	0	1	C12orf57
MORF4L2	0	0.180213546962998	0.404	0.237	0	1	MORF4L2
PET100	0	0.179642236369667	0.42	0.248	0	1	PET100
ALKBH7	0	0.1778402361725	0.336	0.167	0	1	ALKBH7
ARL1	0	0.176881999902979	0.285	0.125	0	1	ARL1
MRPL40	0	0.175821387140835	0.257	0.104	0	1	MRPL40
TCEA1	0	0.174095339060425	0.333	0.209	0	1	TCEA1
CSDE1	0	0.174074084038301	0.37	0.235	0	1	CSDE1
MTDH	0	0.173604518899471	0.407	0.257	0	1	MTDH
MRPL55	0	0.171919350850388	0.32	0.161	0	1	MRPL55
CTSS	0	0.169426034296731	0.367	0.223	0	1	CTSS
GNB2L1	0	0.168145479047213	0.894	0.795	0	1	GNB2L1
BRD2	0	0.166534987404536	0.276	0.164	0	1	BRD2
EGR1	0	0.166276212397264	0.286	0.162	0	1	EGR1
AKAP9	0	0.161287849047908	0.292	0.158	0	1	AKAP9
EIF3G	0	0.160031187941696	0.413	0.272	0	1	EIF3G
IDH2	0	0.158173855558393	0.277	0.128	0	1	IDH2
NDUFA13	0	0.157005713716152	0.529	0.329	0	1	NDUFA13
YIPF3	0	0.156517720974471	0.254	0.113	0	1	YIPF3
PLP2	0	0.156290302021135	0.351	0.181	0	1	PLP2
PSMD8	0	0.154485252021335	0.381	0.219	0	1	PSMD8
EMC7	0	0.154208896568374	0.261	0.125	0	1	EMC7
SH3GLB1	0	0.153706185622525	0.267	0.141	0	1	SH3GLB1
SAT2	0	0.152578655551317	0.266	0.132	0	1	SAT2
PSME2	0	0.151544084673027	0.551	0.33	0	1	PSME2
PSMB6	0	0.149665987911255	0.426	0.233	0	1	PSMB6
C19orf60	0	0.147276647278521	0.312	0.195	0	1	C19orf60
COX7A2	0	0.147265446490053	0.777	0.514	0	1	COX7A2
C8orf59	0	0.143746523668567	0.276	0.145	0	1	C8orf59
COX5A	0	0.140428996893766	0.542	0.267	0	1	COX5A
SARS	0	0.140022953802541	0.252	0.135	0	1	SARS
ATP5A1	0	0.137558112821072	0.474	0.262	0	1	ATP5A1
RPS19BP1	0	0.137413594036636	0.358	0.202	0	1	RPS19BP1
MCTS1	0	0.1356928308314	0.283	0.155	0	1	MCTS1
RAB1A	0	0.135365576856928	0.386	0.214	0	1	RAB1A
TMEM167A	0	0.135275727161929	0.328	0.189	0	1	TMEM167A
DPM3	0	0.133943146918763	0.266	0.137	0	1	DPM3
CD79B1	0	0.133924495274348	0.301	0.154	0	1	CD79B
RNASEH2C	0	0.131605869971066	0.278	0.153	0	1	RNASEH2C
SMARCB1	0	0.129921904855674	0.254	0.146	0	1	SMARCB1
RHEB	0	0.129644277929991	0.301	0.183	0	1	RHEB
ZNF593	0	0.129469292440818	0.263	0.119	0	1	ZNF593
HDLBP	0	0.128628967440628	0.259	0.121	0	1	HDLBP
SRSF9	0	0.127140959283929	0.303	0.169	0	1	SRSF9
NME1	0	0.126804475755109	0.339	0.143	0	1	NME1
ARF1	0	0.125772243494885	0.399	0.252	0	1	ARF1
AURKAIP1	0	0.125595784232302	0.453	0.232	0	1	AURKAIP1
YIF1A	0	0.125322988202833	0.274	0.134	0	1	YIF1A
ATOX1	0	0.121480478982011	0.361	0.208	0	1	ATOX1
SAR1A	0	0.1204347788022	0.268	0.159	0	1	SAR1A
RWDD1	0	0.120340128979851	0.336	0.215	0	1	RWDD1
ARL5A	0	0.116633050857541	0.259	0.165	0	1	ARL5A
GADD45GIP1	0	0.116239522219544	0.428	0.244	0	1	GADD45GIP1
SF3B5	0	0.114663464438633	0.461	0.301	0	1	SF3B5
MRPL51	0	0.113890413445259	0.392	0.213	0	1	MRPL51
HINT2	0	0.111535982209879	0.251	0.13	0	1	HINT2
NDUFS8	0	0.108168504115607	0.425	0.229	0	1	NDUFS8
OCIAD1	0	0.104834069019807	0.313	0.204	0	1	OCIAD1
P4HB	0	0.104674828162065	0.505	0.228	0	1	P4HB
TAF9	0	0.10368904657188	0.266	0.172	0	1	TAF9
ADI1	0	0.0959556497078271	0.263	0.144	0	1	ADI1
MRPL20	0	0.0950796140300527	0.369	0.209	0	1	MRPL20
PRMT1	0	0.0929909172772599	0.265	0.166	0	1	PRMT1
CANX	0	0.0885257993148276	0.349	0.2	0	1	CANX
RER1	0	0.0884318857343276	0.286	0.156	0	1	RER1
PRELID1	0	0.0864825175925773	0.404	0.231	0	1	PRELID1
CD63	0	0.0863796303736271	0.784	0.396	0	1	CD63
RPL22L1	0	0.0838231396263722	0.407	0.242	0	1	RPL22L1
CD691	0	0.0810534889921399	0.396	0.491	0	1	CD69
